2018-10-23 07:32,大连地铁微博会员特权置顶早安大家要的首末车时间在此奉上二哈二哈如有运营时间变动我们会及时更新这个时间表的也欢迎大家关注大连地铁微信公众号点击菜单栏里的站点查询功能也可以看最新的首末车时间酷酷随着樱花节的到来我们还增加了樱花主题车厢时刻表
2019-03-08 19:47,大连地铁为进一步促进公司女职工身心健康让广大女职工度过一个健康愉快而有意义的三八国际妇女节月日下午运营公司工会在运营公司地铁大厦楼会议室举办了以关注健康关爱女性为主题的女职工健康知识讲座运营公司各岗位名女职工代表参加了专题讲座讲座中老师建议女职工要建立良展开全文
2019-03-08 19:38,大连地铁为热烈庆祝第个三八国际妇女节的到来营造良好的节日氛围丰富干部职工的精神文化生活更好地展现地铁女职工健康向上充满活力的精神面貌建设公司工会于月日上午开展以迎三八展风采促学习为主题的有奖知识竞赛活动建设公司名女职工参加了本次竞赛活动活动以女展开全文
2019-03-08 18:40,#雷锋精神温暖大连#,作揖作揖作揖作揖谢谢大连地铁一定更加努力全心全意做好服务
2019-03-08 17:05,#三八女神节#,谢谢毕老师发现我们地铁的萌妹子真心不容易地铁司机环境不如地上没有亮丽的风景在漆黑的隧道里精神压力很大辛苦了作揖作揖
2019-03-08 16:52,#大连地铁正能量#,大连地铁大连地铁正能量今天上午点左右姚家站工作人员徐乐乐在清车时捡到一部手机由于手机没有锁所以很快便联系上了失主的家人下午乘客的儿子徐先生来到姚家站领取父亲的手机时表示父亲年岁已高直到工作人员打来电话的时候才发现自己的手机丢失了徐先生为了表示感谢写下一封感谢信乘客开展开全文
2019-03-08 16:35,一下班就向我显摆二哈二哈
2019-03-08 15:20,#昨日客流#,大连地铁昨日客流万人次
2019-03-08 13:50,被送花的女神肯定是相当的开心啦感谢这么爱我们地铁的女神鼓掌鼓掌
2019-03-08 13:48,哈哈喜欢就好作揖作揖作揖作揖以后我们多为大家发礼物
2019-03-08 13:40,#女神节#,大连地铁女神节今天我们友好广场站有送鲜花活动呦鲜花鲜花小姐姐的笑容简直太美了爱你爱你
2019-03-08 13:28,#大连地铁正能量#,大连地铁大连地铁正能量今天上午一名岁左右的女乘客在号线车上突然晕倒工作人员看到后立即进入车内和家属一起想办法先让乘客恢复意识之后用轮椅推乘客到达站厅等候救助期间工作人员找来了药物为乘客缓解症状又寻来衣物为乘客做好保暖随后乘客被赶到的救护车带走在这里感谢河口站的小伙伴展开全文
2019-03-08 13:20,大连地铁看看地铁女神们今天都是如何过节滴视频由东海站拍摄大连地铁的秒拍视频大连地铁的秒拍视频
2019-03-08 12:16,大连地铁邂逅幸运女神今日东港站与会议中心站随机选取进站的女性乘客赠予文明出行纪念卡并献予女神一支康乃馨香伴女神节温暖三月天好暖呀
2019-03-08 11:34,悲伤悲伤悲伤悲伤悲伤悲伤真的好辛苦
2019-03-08 10:37,大连地铁为开拓同学们的视野科普地铁运营相关知识九三学社大连市委员会组织大连市第六十六中学学生代表到地铁富国街站进行参观学习富国街站站长向同学们介绍了车站的基本情况针对文明乘车准则乘车发生突发事件时乘客如何应对等方面逐一进行讲解行车值班员与同学们进行互动介绍了综控室的设施设展开全文
2019-03-08 10:28,大连地铁今天是女神节地铁号线一二九街站联合路站交通大学站马栏广场站红旗西路站五站联合在中山公园举办地铁在身边安全文明我先行主题宣传出行的活动为周边居民发放文明乘车宣传册文明出行纪念卡等在阳光明媚的三月传递着来自大连地铁的温度
2019-03-08 09:09,会撒娇的女人运气都不会差呦祝大家女神节快乐笑哈哈笑哈哈文姬想买衣服
2019-03-08 08:39,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线进站客流排在前三位的分别是华南广场站松江路站和千山路站春柳站至兴工街站区间七贤岭站至西安路站区间乘车压力会稍微大一些号线客流主要集中在机场站至马栏广场站区间友好广场站至西安路区间截至分号线客流展开全文
2019-03-08 06:58,大连地铁女神节快乐给你小心心给你小心心给你小心心给你小心心不知各位女神早上是否坐了地铁兔子兔子
2019-03-08 06:55,#今日天气#,大连地铁今日天气各位小伙伴早安太阳太阳太阳太阳今天是农历二月初二民间俗称龙抬头的日子自古以来龙就象征着昂首挺胸万物复苏吉祥如意所以能遇到好的天气也会让人觉得格外振奋今天大连的天气就相当不错不但阳光充足气温也会迎来近期一个回暖的小高潮预计市区全天在晴暖的天气展开全文
2019-03-07 13:08,#昨日客流#,大连地铁昨日客流万人次
2019-03-07 11:20,大连地铁隆重向大家介绍大连站的爱心驿站鼓掌鼓掌累了渴了欢迎大家来坐坐还有报纸供大家阅读哈哈哈哈大连地铁的微博视频大连地铁的微博视频
2019-03-07 07:51,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线大连北站和松江路车站进站乘客比较多号线整体运行情况还是比较平稳的号线的人民广场站红旗西路车站进出站客流相对其他车站还是比较多的建议大家在候车时尽量到乘客较少的车门位置排队等候截至分号线客流展开全文
2019-03-07 07:31,#今日天气#,大连地铁今日天气今天晴间多云相对湿度西北风转西南风级惊蛰时节冷暖空气交替也更加频繁了今天刚刚抵达的冷空气明天就要逐渐撤退了白天阳光不错加上北风减弱了下来体感上会觉得暖和了不少但一早一晚还是有些冷的提醒早出晚归的上班族上学族还是要适当多穿展开全文
2019-03-06 17:32,#大连地铁正能量#,大连地铁大连地铁正能量今天四点半左右香工街站工作人员李冬妮发现口有一位老奶奶特别疲惫的在来回走主动询问后得知老奶奶不记得自己家在哪了经过工作人员吴珊耐心接触后老奶奶把儿子的电话号码说了出来车站立即联系到了正在焦急寻找老人的家属接到电话后家属赶到车站接走了老人笑哈哈笑哈哈在此提展开全文
2019-03-06 17:01,心心心心心心下次小编出个领奖地图偷乐偷乐
2019-03-06 13:21,#大连地铁正能量#,大连地铁大连地铁正能量点滴之爱汇聚成海你的随手正能量就是向雷锋精神致敬昨日一名乘客将一面锦旗送到了春柳车站感谢春柳站的工作人员在其遇到困难时给予的无私帮助月日早上分一名男性乘客在乘坐地铁时突发疾病瘫倒在地上车站工作人员立即搬来轮椅大家合力将乘客扶到轮椅上乘展开全文
2019-03-06 11:09,#开学季#,大伙都来学习学习
2019-03-06 08:34,大连地铁昨天下午旅顺开发区中心小学师生一行人来到旅顺新港站进行参观学习工作人员向各位老师及同学讲解了车站的设备设施乘车安全知识等内容参观学习期间几名同学还亲身体验了一下站务工作体验完毕同学们纷纷表示以后要当乘车安全的小小志愿者向周围的人宣传地铁安全知识小哥哥给小朋友展开全文
2019-03-06 08:22,#大连地铁正能量#,大连地铁大连地铁正能量大连地铁三号线开发区站的爱心驿站欢迎周围有需要的朋友来此休息服务做得好每天都是学雷锋纪念日加油加油加油加油有服务不到位的地方还望不吝赐教作揖作揖大连地铁的微博视频大连地铁的微博视频
2019-03-06 08:16,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线乘客的出行方向主要集中在大连北站至七贤岭站区间另外华南广场站会展中心站上车的乘客也比较多同时在河口站换乘十二号线的乘客也是有所增加的号线港湾广场至西安路站区间乘车压力并不是很大预计稍后时段客流还会继续增加展开全文
2019-03-06 06:45,#今日天气#,大连地铁今日天气多云转晴上午有雾和霾在槽后冷空气主导下偏北风的风力较大可达到级气温受到冷空气和大北风的双重打压继续小幅回落市区最高止步于最低气温将下降至但可喜的是持续数日的雾或霾有望被终结空气质量能大幅提升
2019-03-05 19:58,路开往大连港客运码头还差几张就能凑一副扑克牌了米奇比心米奇比心大连地铁大连地铁
2019-03-05 16:45,#大布关注#,嘻嘻嘻嘻作揖作揖作揖作揖大连户口身份证大连户口身份证中铁大连地铁大连地铁号线超级穿海工程给力给力
2019-03-05 15:00,大连地铁车站画的宣传板报虽然画的雷锋萌萌的但是向雷锋学习的心是真真切切加油加油加油加油红旗西路站画
2019-03-05 14:55,#大连地铁正能量#,大连地铁大连地铁正能量今天早上西安路一号线站台上一位女孩因身体不适在站台晕倒车站工作人员立即扶乘客在椅子上躺下并送去了一杯红糖水当女孩家属赶到时女孩已好转很多西安路站的服务让乘客很满意棒棒哒赞赞同时也建议广大乘客早晨尽量吃早饭炸鸡啤酒炸鸡啤酒吃早饭不仅会让人一天能量满满展开全文
2019-03-05 11:38,#昨日客流#,大连地铁昨日客流万人次
2019-03-05 09:33,噼里啪啦小太阳嘻嘻感谢老铁宠爱污污大连地铁大连地铁
2019-03-05 08:36,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线春柳站松江路站以及学苑广场站的乘客相对较多从华南广场站开始一直到会展中心站区间客流较为密集号线乘客出行方向主要集中在辛寨子站至中山广场站区间目前换乘站西安路站的进出站客流都在逐渐增多截至分号线客流展开全文
2019-03-05 08:23,大连地铁坐在座位上时还请照顾一下站着的小伙伴作揖作揖作揖作揖
2019-03-05 08:20,#见贤思齐 遍地雷锋#,见贤思齐遍地雷锋我接力加油加油加油加油加油加油大连户口身份证大连户口身份证早安早安今天是月日见贤思齐遍地雷锋我接力拳头拳头政务服务力服务群众
2019-03-05 06:40,#今日天气#,大连地铁今日天气预计受高空槽系统的影响今天我市上空云量将逐渐增多天气多云下午转阴有小雨气温方面小幅下滑市区气温在空气质量仍旧较差有雾或霾出行务必要做好防护措施感冒感冒
2019-03-04 15:44,#大连地铁正能量#,大连地铁大连地铁正能量今天中午一男乘客突发心脏病倒地昏迷兴工街站的工作人员立即前往站台用担架将昏迷乘客抬下车随行家属拨打急救电话分钟后赶到车站工作人员将乘客送往医院家属对车站给予的帮助表示感谢在此提醒广大乘客进入三月温度回暖建议心脑血管比较脆弱的乘客出行展开全文
2019-03-04 15:32,大连地铁爱心驿站驻地铁志愿服务暖滨城免费的药品充电宝饮用水茶叶甚至还有老花镜和报纸杂志等等零零碎碎事无巨细铺满了一桌子这些是什么在大连地铁北站经过的乘客都不免好奇地观望一下原来这是大连北站为解决北站周边地区的执勤交警环卫工人出租车司机等户外劳动者可能面临的困难展开全文
2019-03-04 14:58,#见贤思齐 遍地雷锋#,大连地铁见贤思齐遍地雷锋爱心驿站让城市有温度为了给广大基层工作者提供温暖关怀服务帮助他们解决日常工作中可能面临的困难和问题今天上午点香工街站爱心驿站正式成立邀请香工街站所属社区及环卫工人们来车站参加了此次活动环卫工人朋友们大多不善言语但从他们的笑容中我们感受到了温展开全文
2019-03-04 14:42,大连地铁假装听得懂系列岁男孩说英语溜得飞起网友我还不如一个宝宝看看新闻的秒拍视频看看新闻的秒拍视频
2019-03-04 13:56,#昨日客流#,大连地铁昨日客流万人次月日客流万人次月日客流万人次
2019-03-04 12:33,大连地铁今天上午地铁三号线的部分党员自发的组织起来来到早高峰客流量较大的泉水站维持乘车秩序向乘客宣传服务理念做乘客有序乘车的引导者党员同志们纷纷表示义务维乘活动一定会在这种奉献精神的感召下延续下去为大连地铁的文明服务理念添砖加瓦
2019-03-04 12:27,大连地铁话筒话筒坐地铁时喜欢戴耳机听音乐看视频长期这么做会致听力受损今天是全国爱耳日据世卫组织最新发布数据称全球约有亿人年轻人岁之间面临不可逆转的听力损失伤害公交地铁等场所产生的声音有时超分贝长时间戴耳机并承受持续高分贝的音量将对听力造成损失展开全文
2019-03-04 10:44,渴了累了歇歇脚人民广场服务好赞赞赞赞
2019-03-04 10:31,#见贤思齐 遍地雷锋#,大连地铁见贤思齐遍地雷锋雷锋行动从头开始为一进步深化弘扬雷锋精神大连地铁东港站于月日在建筑工地携手社区及理发店开展关爱行动从头开始志愿服务活动本次活动围绕地铁知识服务春风志愿服务理发等环节进行活动从中午开始进行为大家讲解如何使用机器与手机购票并展开全文
2019-03-04 08:47,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线此时各车站的出行客流都在有序上升但是站台并没有出现滞留乘客的情况在这一时加点位大连北站海事大学站进站乘客较多号线青泥洼桥站至西安路站区间虹锦路站至红旗西路站区间客流压力较大截至分号线客流人展开全文
2019-03-04 07:04,#今日天气#,今日天气气温还可以空气不给力感冒感冒
2019-03-03 22:00,凌南再接再厉赞赞大连地铁大连地铁
2019-03-03 20:13,又一个幸运儿恭喜恭喜给你小心心给你小心心给你小心心给你小心心
2019-03-03 19:33,大连地铁转发一起倡议海洋宝贝不是市场宝贝千万不要被玳瑁的精美外表所迷惑因为它们全部来自非法捕捞和杀害而这项违法产业已导致玳瑁极度濒危今天世界野生动植物日今年的主题是保护海洋物种传承海洋文明拒绝购买海龟制品减少使用塑料保护日益濒危的海龟人明日报展开全文
2019-03-03 07:26,#今日天气#,大连地铁今日天气月日星期天农历正月二十七多云转晴有雾或霾相对湿度西南风转西风级今天是八九最后一天大连地区多云转晴有雾或霾陆地西南风转偏西风到级预计下周一大连地区依然是温暖开局天气以晴为主市区全天气温在半岛晨展开全文
2019-03-02 21:29,是不是很惊喜呀能抽中地铁车模代表运势真的很旺加油加油小编代表广大小伙伴表示恭喜
2019-03-02 19:28,#宝宝的少女心#,飞不上天的鹿年度第一次微博中奖感谢大连地铁大连地铁大连地铁宝宝的少女心大连西安路沿线大连西安路沿线
2019-03-02 21:04,可不得木有人也不能这样啊允悲允悲
2019-03-02 19:56,#见贤思齐 遍地雷锋#,大连地铁见贤思齐遍地雷锋河口地铁站在月日学雷锋纪念日来临之际积极参与社会公益活动投身社区尽自己所能给予市民帮助河口站的小姐姐们是不是很优秀呀鼓掌鼓掌
2019-03-02 14:54,来自巴塞罗那的信仰感谢啦大连地铁大连地铁
2019-03-02 10:51,找到就好作揖作揖作揖作揖
2019-03-02 10:48,在年月日晚上因为自己马虎把价值的化妆品遗忘在交通大学地铁站了后来被站里工作人员捡到原物返回非常感谢工作人员大连地铁大连地铁大连大连周水子国际机场大连大连周水子国际机场
2019-03-02 10:25,大家了解一下哈有相关交通联合卡的问题可以问哈很专业的铁迷赞赞
2019-03-02 09:56,来晒奖品了吃瓜吃瓜大连地铁大连地铁
2019-03-02 09:39,大连地铁昨日下午辛寨子社区党委带着辛寨子幼儿园的小朋友来到辛寨子站参观车站的小伙伴带着小朋友学习如何乘坐地铁如何过安检购票同时也加强了小朋友乘坐扶梯等候列车的安全意识最后大家一起开开心心拍照留念小盆友们很开心嘻嘻嘻嘻
2019-03-02 09:30,#大连地铁正能量#,大连地铁大连地铁正能量一大早就在朋友圈流传着香工街站小伙伴们的佳话鼓掌鼓掌鼓掌鼓掌图片来源某网友
2019-03-02 08:17,大连地铁周末从健身开始加油加油但是今天空气不好不建议在室外锻炼呦沙尘暴沙尘暴梨视频体育的秒拍视频梨视频体育的秒拍视频
2019-03-02 07:24,#今日天气#,大连地铁今日天气我市西南风不大天气依然温暖市区全天的气温在不过在高空槽的影响下大连地区上空的云彩会比较多天色看上去比昨天沉闷一些加上雾和霾比较严重需要出行的朋友一定要戴好口罩明天周日也是八九的最后一天天气依然温暖主城区全天气温会维持在
2019-03-01 20:45,#大连身边事#,车厢内站台站厅都禁止抽电子烟如有小伙伴再在车厢内遇到类似情况可以联系工作人员或者拨打告知我们的客服
2019-03-01 14:39,#大连地铁正能量#,大连地铁大连地铁正能量大连地铁客运一中心工作人员今天下午前往大连工人疗养院看望院中的老人在疗养院帮忙收拾食堂卫生食堂的环境好了老人们更有食欲了馋嘴馋嘴
2019-03-01 11:33,#昨日客流#,大连地铁昨日客流万人次
2019-03-01 10:26,张道长一看就是中国政法大学毕业的允悲允悲允悲允悲董叔照顾照顾董叔照顾照顾感谢新闻哥作揖作揖作揖作揖作揖作揖
2019-03-01 07:52,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线客流压力集中在华南广场至七贤岭站的区间另外大连北站目前进站的乘客也是比较多的提醒携带大件行李的乘客尽量选择直梯通行号线红旗西路至交通大学站的区间乘客比较集中建议大家候车时往站台两侧走不要拥挤在楼梯口处截展开全文
2019-03-01 07:51,#阿丽塔：战斗天使#,你是魔鬼嘛
2019-03-01 07:42,#今日天气#,大连地铁今日天气今天我们就将迎来三月三月的大连春意开始朦胧残冬的特色也将逐渐褪去多风少雨升温较快乍暖还寒等特点都将逐渐表现出来据统计常年大连市区三月平均气温是要比二月高三月第一天我市阳光不错风力和缓天气温暖依旧市区白天的最高气温在左右最低展开全文
2019-02-28 20:09,大连地铁公布中奖名单哈请中奖的小伙伴私信小编没中奖的小伙伴请不要灰心以后还有机会给你小心心给你小心心
2019-02-28 15:35,#昨日客流#,大连地铁昨日客流万人次
2019-02-28 15:30,#大连身边事#,凡事好商量想动手前请考虑后果并不简单并不简单
2019-02-28 09:35,姑娘好美
2019-02-28 09:28,#大连地铁正能量#,大连地铁大连地铁正能量还记得之前因心脏不舒服晕倒的孙先生吗昨日上午孙先生及家属携带锦旗来到东山路站感谢月日突发心脏病时车站工作人员提供的帮助当时好心乘客王女士不仅帮忙把孙先生抬下车还与车站工作人员一起对孙先生进行左手臂按摩缓解孙先生送来的锦旗不仅是对车站工作人员服务的展开全文
2019-02-28 08:16,#今日天气#,今日天气
2019-02-28 08:11,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线大连北站东纬路站以及河口站的乘客相对较多客流出行方向集中在大连北站去往西安路区间号线客流压力主要集中在虹锦路站至中山广场站区间目前红旗西路站和马栏广场的进站乘客较多截至时号线客流人次号线客流展开全文
2019-02-28 07:51,大连地铁再次提醒小伙伴们根据大连市政府要求大连市应急管理局在今日下午在地铁号线海之韵站组织突发事件应急演练海之韵站将在今日实施封站演练结束后将立即恢复运营演练期间东海站将作为始发站和终点站届时海之韵站至东海站区间改由汽车接驳接驳车发车间隔为分钟请广大乘客听展开全文
2019-02-27 18:38,#文明乘车卡抽奖#,大连地铁文明乘车卡抽奖回复张张张张怎么舍得你难过喵喵喵喵加大力度继续抽奖个名额送出张文明出行纪念卡中奖者每人四张愿意参加活动的小伙伴请转发本条微博并艾特三名好友活动截止到明晚明晚活动的目的就是为了让大家开心让更多小伙伴能获得奖争做文明大连人绿色展开全文
2019-02-27 18:26,大连地铁给小伙伴们说明一下哈我们的文明出行纪念卡可以在号线不限距离乘坐一次因为号线改造工程还未完成所以号线的闸机不支持文明出行纪念卡望周知哈抱抱抱抱
2019-02-27 17:59,嘻嘻嘻嘻文明大连绿色出行祝出行愉快给你小心心给你小心心给你小心心给你小心心
2019-02-27 14:38,#皮箱开会#,大连地铁皮箱开会一号线高校学生返程高峰到来一上车有种皮箱开会之感允悲允悲允悲允悲提醒小伙伴注意拿行李箱乘坐地铁安全第一最好乘坐直梯大连地铁微信公众号里面有各车站直梯详情介绍敬请关注作揖作揖
2019-02-27 13:31,客流量就那么大允悲允悲车隔缩短了但客流不大那也是公共资源的浪费啊亲都是咱纳税人的钱啊喵喵喵喵
2019-02-27 13:29,地铁车厢禁止饮食作揖作揖作揖作揖
2019-02-27 11:41,#大连地铁正能量#,大连地铁大连地铁正能量昨日上午点左右青泥洼桥站一位女乘客下楼梯时不慎将脚崴伤青泥洼桥站工作人员及时对乘客伤处进行处理在此提醒广大乘客下楼梯务必小心不要扭伤同时感谢青泥洼桥站的小伙伴给乘客包扎的那么好鼓掌鼓掌鼓掌鼓掌鼓掌鼓掌
2019-02-27 08:09,#大布出行#,大连发布大布出行大连地铁大连地铁早高峰客流号线大连北站东纬路站春柳站及学苑广场站乘客较多河口站换乘号线乘客持续增加号线客流集中在虹锦路站至交通大学站区间乘客以进站为主西安路站至港湾广场站区间乘客以出站为主截至号线进出站客流人次号线客流人次重伟
2019-02-27 08:54,大连地铁大连市应急管理局发布通告根据大连市政府要求大连市应急管理局在地铁号线海之韵站组织突发事件应急演练兹定于年月日本周四地铁号线海之韵站实施封站演练结束后立即恢复运营演练期间东海站将作为始发站和终点站届时海之韵站至东海站区间改由汽车接驳接驳展开全文
2019-02-27 08:50,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流比较平稳大多是以进站为主号线大连北站东纬路站春柳站以及学苑广场站的乘客相对较多希望大家在站台排队候车时遵守车站乘车规定不要越过黄色安全线号线的客流方向主要集中在虹锦路站至交通大学站区间以进站乘客为主从西安路站至港湾广场站这一区间展开全文
2019-02-27 07:35,#今日天气#,大连地铁今日天气我市天气转为多云局部有零星小雨傍晚转晴偏南风转偏西风风力不大市区气温在周四周五我市天气晴好偏西风风力不大市区的最高气温维持在最低气温在附近双休日我市天气多云为主风力轻缓市区的最高气温在之间市气象台月日时发布
2019-02-26 16:39,#大连身边事#,腿不够长就别装长腿欧巴啦行不喵喵喵喵屁股都要伸出去了允悲允悲
2019-02-26 13:57,#昨日客流#,大连地铁昨日客流万人次
2019-02-26 10:54,大连地铁有乘客称早上在千山路地铁站乘车时有一男子对该乘客有骚扰行为虽然没有充分证据但是小编想提醒大家如果遇到类似情况请不要害怕可以在到站时联系车站工作人员同时我们每一站都有驻站警察如果列车正在行驶可以向附近其他乘客寻求帮助在此严重谴责那些手脚不老实的人有病请赶紧治病展开全文
2019-02-26 08:51,#大连地铁正能量#,大连地铁大连地铁正能量昨日上午左右乘客于先生及家人携一面锦旗及感谢信来到车站感谢月日突发疾病时工作人员王琰起及马雪梅为其提供的帮助月日下午点左右行值接到地铁外协单位维修人员打来电话称车上有一名乘客突发疾病需要帮助当班值班站长王琰起立即携带轮椅到站台并与站台员马雪展开全文
2019-02-26 07:51,#今日早高峰#,大连地铁今日早高峰目前各条线路的整体状况是比较平稳的现在号线客流出行方向主要集中在大连北站去往西安路站方向以及河口站去往西安路站的方向号线从虹港路站开始一直到会议中心站这一区间上车的乘客还是比较多的在西安路站可能会缓解一部分客流压力建议大家在上车时尽量往车厢里面走不要展开全文
2019-02-26 07:08,#今日天气#,大连地铁今日天气我市上空云量将会逐渐增多风向北风转南风风力较弱气温保持稳定全市最高气温在到之间最低气温南部地区在附近北部地区在上下
2019-02-25 15:44,大连地铁一女子携带行李箱进入地铁站乘坐下行电扶梯时没有拉稳拉杆导致行李箱从电梯顶部滑落砸到电梯底端的乘客在此要提醒大家携带大件行李应尽量选择乘坐垂直电梯如果不知道直梯口在哪可以关注我们大连地铁官方微信号里面有站点查询功能可以查询如需车站帮助可以拨打与我们的客展开全文
2019-02-25 15:30,大连地铁换个角度看迪士尼美的惊艳请大家一起欣赏上海迪斯尼航拍合集上海迪斯尼航拍合集
2019-02-25 14:11,#昨日客流#,大连地铁昨日客流万人次月日客流量万人次月日客流量万人次
2019-02-25 10:51,#大连地铁正能量#,大连地铁大连地铁正能量昨日点左右青泥洼桥站接到港湾广场站电话说一位老人要去柏威年后身需要工作人员指引一下工作人员在站台接到老人后询问要去哪时老人却含糊其辞说不清楚工作人员尝试问了老人几个问题发现老人都说不明白担心老人走丢便把老人接到站长室休息以防其走丢幸好老人展开全文
2019-02-25 07:51,#今日早高峰#,大连地铁今日早高峰目前各条线路的整体客流较前几日相比有所增加现在号线出行方向主要集中在大连北站至兴工街站区间另外学苑广场站河口站上车的乘客也比较多号线红旗西路站至西安路站区间乘车压力较小预计稍后时段客流还会继续增加截至时分号线进出站客流人次号线客流人次展开全文
2019-02-25 07:30,#今日天气#,大连地铁今日天气我市将以北风为主虽然风力不大但市区最高气温会回落到左右最低气温上下明天直到周末之前将不会再有明显冷空气来访气温又会逐步回升预计到周五前后市区的最高气温将回升到附近天气暖和依旧
2019-02-24 19:22,大连地铁猫奴与主子的自拍正确姿势俄罗斯网红猫咪的铲屎官想到一个和主子自拍的绝妙方式只要在手机壳上固定逗猫道具猫咪分分钟就看镜头啦你学会了吗喵喵喵喵精彩视频的微博视频精彩视频的微博视频精彩视频的微博视频精彩视频的微博视频
2019-02-24 09:40,#五月天#,大连地铁本周天气好得不得了温度高高很给力太阳太阳这种天气不约三两好友出行更待何时此时小编想起了一首歌在这里送给大家五月天网页链接网页链接
2019-02-24 08:16,#今日天气#,大连地铁今日天气大连市区当前气温南风级气压能见度米相对湿度今天我市依然非常暖和天气晴有时多云市区白天最高气温预计今晚会有一小股弱冷空气到来届时西南风将被小北风取代市区最低气温相比前两天会小幅下降至明天尽管天气继续保持晴好但在这股弱冷展开全文
2019-02-23 16:19,大连地铁今日下午两名小学生来人民广场站义务维乘这两名小学生表示这次义务维乘让他们受益匪浅体验到了地铁工作人员的辛苦不易也让他们寒假生活写上了有意义的句号小盆友们棒棒哒
2019-02-23 07:52,#今日天气#,大连地铁今日天气早安心心今天是年月日星期六农历正月十九今天晴间多云偏北风到级转西南风到级气温今天局部有雾或霾易敏感人群外出要适当防护大连气象大连气象
2019-02-22 20:19,恭喜井村禾谐井村禾谐亚洲杯哆啦梦亚洲杯哆啦梦日常锦鲤萌主日常锦鲤萌主天若有情不是晴天若有情不是晴徐星湖徐星湖悾惗妳悾惗妳艾欧临小惑惑惑艾欧临小惑惑惑何快乐何快乐我不像我我不像我澄阳澄阳得到文明出行纪念卡两张请中奖小伙伴私信小编没中奖的莫灰心因为你们有机会得周年纪念钞敬请期待作揖作揖
2019-02-22 14:39,大连地铁截止到目前为止大连地铁官方微信参与抽奖的人数已经超过五千人奖品丰厚没抽奖的小伙伴们可以继续参加这次活动为了达到双微两开花的效果小编打算在官方微博抽取十名小伙伴赠出二十张文明出行纪念卡愿意参加活动的小伙伴请转发本条微博并艾特三名好友活动截止到今晚活动的目的就展开全文
2019-02-22 14:14,#昨日客流#,大连地铁昨日客流万人次
2019-02-22 13:11,#大连地铁正能量#,大连地铁大连地铁正能量今日上午分一二九街站站务员鞠鑫在站台接车时一名女乘客向其求助该名女乘客身体不舒服经过了解乘客患有肠痉挛在友谊医院住院因外出办事乘坐地铁身体突感不适随后工作人员将乘客搀扶进员工区休息联系家属乘客女儿赶到后与乘客一起打车离开离开前乘客对工作展开全文
2019-02-22 11:45,绳子千万条安全第一条作揖作揖作揖作揖
2017-02-27 11:54,结衣酱真的以为看不见了从年后改了地铁运行时间和缩短行车时间本是好事我却再也没见到地铁妹子了上班路上的乐趣和早起的动力荡然无存从去年准确的说是前年就在西安路换乘并在红旗西路下车并走一段路她比我早到单位我还要乘班车年前忙的一塌糊涂就没怎么回家也见不到年后地铁改成展开全文
2019-02-22 11:22,#地铁提示#,必须转作揖作揖
2019-02-22 08:55,加油哦拍好了我们微博微信专题播发捧红你喵喵喵喵
2019-02-22 08:27,大连地铁刚刚官方微信抽奖因为人数太多所以卡了我们及时进行了调整现在可以正常抽奖啦
2019-02-22 07:52,#今日早高峰#,大连地铁今日早高峰目前各条线路的整体客流较前几日相比有所增加现在号线客流出行方向主要集中在华南广场去往大医二院的区间以及七贤岭去往兴工街区间号线客流还是以红旗西路站至港湾广场站这一区间为主截至时分号线进出站客流人次号线客流人次号线人次由于各车站进站展开全文
2019-02-22 07:36,想抽车模的小伙伴请关注我们的官方微信这次奖品除了有我们的地铁车模还有纪念人民币发行周年纪念钞小猪纪念卡招财猫储钱罐文明出行纪念卡好喜欢好喜欢
2019-02-22 07:33,大连地铁发布了头条文章第二轮抽奖活动今日起上线这次还有纪念钞呦第二轮抽奖活动今日起上线这次还有纪念钞呦第二轮抽奖活动今日起上线这次还有纪念钞呦
2019-02-22 07:22,#今日天气#,大连地铁今日天气早安心心今天是年月日星期五农历正月十八今天多云间晴有雾或霾西北风级气温回暖继续请根据天气变化调整着装大连气象大连气象
2019-02-21 16:35,真的吗是我吗第一次中奖啊喵儿小绿喵儿小绿大连地铁大连地铁恭喜二十一二十一花花乖乖花花乖乖禁区之王禁区之王橙子橙子听雨说听雨说结衣酱结衣酱么西么西聚光灯下的小凯聚光灯下的小凯获得文明出行纪念卡两张请中奖小伙伴私信小编
2019-02-21 17:59,#地铁情缘#,大连地铁地铁情缘今天抽奖本来想吸粉结果吸来了一个感人至深催人泪下啼笑皆非的单恋故事征得当事人同意厚码推出以慰其三年多的相思苦喵喵喵喵还有后续哦静待作揖作揖预备唱明明知道相思苦偏偏对你牵肠挂肚太暴露年纪了允悲允悲大连悦泰湾里大连悦泰湾里
